Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-150,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-149,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-148,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-146,Fire Fighter,63784
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-145,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-143,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-142,Fire Fighter,63784
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-141,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-140,Fire Fighter,58816
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-139,Fire Fighter,65498
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-138,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-137,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-135,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-133,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-132,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-131,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-130,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-129,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-128,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-127,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-126,Fire Fighter,60535
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-125,Fire Fighter,65925
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-124,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-121,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-120,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-119,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-118,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-117,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-115,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-114,Fire Fighter,54625
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-111,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-110,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-109,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-108,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-107,Fire Fighter,58816
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-106,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-105,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-104,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-103,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-102,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-101,Fire Fighter,65498
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-100,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-098,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-097,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-095,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-093,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-092,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-091,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-090,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-089,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-088,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-082,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-081,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-080,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-079,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-078,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-077,Fire Fighter,58657
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-076,Fire Fighter,65478
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-075,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-074,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-073,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-072,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-071,Fire Fighter,64022
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-068,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-067,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-066,Fire Fighter,65925
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-065,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-063,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-061,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-059,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-058,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-057,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-056,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-054,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-053,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-052,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-051,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-050,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-049,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-047,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-046,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-045,Fire Fighter,65925
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-044,Fire Fighter,65498
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-043,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-042,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-041,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-039,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-038,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-037,Fire Fighter,58552
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-036,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-035,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-034,Fire Fighter,65889
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-031,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-029,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-028,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-027,Fire Fighter,65159
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-026,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-024,Fire Fighter,58599
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-023,Fire Fighter,58999
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-021,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-020,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-019,Fire Fighter,63757
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-017,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-016,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-015,Fire Fighter,65213
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-014,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-012,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-011,Fire Fighter,65478
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-010,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-009,Fire Fighter,65660
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-008,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-007,Fire Fighter,65332
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-005,Fire Fighter,65067
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-004,Fire Fighter,65688
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-003,Fire Fighter,58543
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-002,Fire Fighter,65318
2017,Public Safety,Fire,Headquarters & Fire Stations,F506-001,Fire Fighter,65250
2017,Public Safety,Fire,Headquarters & Fire Stations,f505-056,Fire Lieutenant,78123
2017,Public Safety,Police,Patrol,P465-194,Police Officer,75564
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-055,Fire Lieutenant,77537
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-054,Fire Lieutenant,78150
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-053,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-052,Fire Lieutenant,78150
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-051,Fire Lieutenant,78390
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-050,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-049,Fire Lieutenant,77930
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-048,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-047,Fire Lieutenant,77724
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-046,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-045,Fire Lieutenant,78390
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-044,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-043,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-042,Fire Lieutenant,78426
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-041,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-040,Fire Lieutenant,78150
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-039,Fire Lieutenant,78150
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-038,Fire Lieutenant,77644
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-037,Fire Lieutenant,78390
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-036,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-035,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-034,Fire Lieutenant,78426
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-033,Fire Lieutenant,77590
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-032,Fire Lieutenant,78426
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-031,Fire Lieutenant,77430
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-030,Fire Lieutenant,77537
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-029,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-027,Fire Lieutenant,77430
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-025,Fire Lieutenant,78390
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-024,Fire Lieutenant,78390
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-023,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-022,Fire Lieutenant,78123
2017,Public Safety,Fire,Headquarters & Fire Stations,F505-021,Fire Lieutenant,78150
